제목,기사 내용,타임스탬프
원주시-지역 국회의원 협력해 특별교부세 34억원 확보,"주요 현안 사업 추진 탄력

원주시와 지역 국회의원이 협력해 올해 하반기 지방교부세 34억원을 확보했다. 사진 왼쪽부터 원강수 원주시장, 박정하(원주갑)·송기헌(〃을) 국회의원

【원주】원주시는 지역구 국회의원과 협력해 올해 하반기 특별교부세로 34억원을 확보했다.

시는 지역현안 사업 2건 20억원과 재난·안전 사업 4건 14억원의 특별교부세를 확보했다고 7일 밝혔다. 지역현안 사업은 봉산동 바람깊술 도로 개설(8억원)과 청골사거리·광터교차로 간 도로 확장·포장( 12억원) 등이다.

또 재난·안전 사업은 단계천 예경보시설 설치(6억원), 재난예경보 마을방송 시스템 구축(2억원), 관설·단관초교 어린이보호구역 안전시설 정비(4억원), 문막읍 방범용 CCTV 설치(2억원) 등이 포함됐다.

시는 이번 특별교부세 교부가 지방교부세 감소 등으로 지역현안 사업을 추진하는데 재정적 어려움이 큰 시기에 지역발전과 지역 안전 유지에 큰 힘이 될 것이라고 설명했다.

원강수 시장은 “시민의 행복에는 여·야가 없다는 생각으로 앞으로도 시민들의 행복과 안전을 위해 지역 국회의원과 화합하는 행정을 펼칠 것”이라고 말했다.",2023-12-08 14:44:43
"""文정부, 서해 공무원 피살 은폐하고 자진 월북으로 몰아""","

서해공무원 고 이대준씨의 2020년 9월 21일부터 북한으로부터 피살시까지 행적. 감사원 제공.





[ 저작권자 ⓒ디지털타임스, 무단 전재 및 재배포 금지 ]

2020년 9월 북한에 피살된 해양수산부 공무원 고(故) 이대준씨가 사망 전 북한 해역에서 표류한 채 발견됐음에도 문재인 정부가 방치한 것으로 확인됐다. 더욱이 당시 정부가 이씨의 사망을 은폐하고 월북몰이 등을 했던 것으로 드러나 정치권에 파장이 적지 않을 전망이다.감사원이 7일 공개한 서해 공무원 피살사건 관련 점검 주요 감사결과를 보면 해수부 서해어업관리단 공무원이었던 이씨는 지난 2020년 9월 21일 01시 58분경 소연평도 남방 2.2㎞ 지점에서 실종됐다. 이후 이씨는 하루 반나절이 지난 22일 15시 30분경 실종 지점에서 27㎞ 떨어진 북한 황해남도 강령군 구월봉 인근 해역에서 북한 선박에 의해 발견됐다. 하지만 북한 선박은 이씨를 구조하지 않은 채 표류 상태로 장시간 방치했다. 결국 이씨는 같은날 21시 40분~ 22시 50분경 북한군에 의해 사살되고 시신은 소각됐다.문재인 정부의 청와대 국가안보실은 이씨가 표류하고 있던 22일 17시 18분 합동참모본부로부터 북한 해역에서 이씨가 발견됐다는 보고를 받았다. 그럼에도 안보실은 통일부 등에 위기상황을 전파하지 않고, 사안의 심각성 평가 및 대응 방향 검토 등을 하는 '최초 상황평가회의'도 열지 않았다. 당시 서훈 국가안보실장과 안보실 1차장은 19시 30분 이전에 퇴근했고, 국가위기관리센터장도 북한이 서해 공무원을 구조한 뒤 상황 종결 보고만 하면 된다고 판단하고 19시 30분경 퇴근했다. 그러나 북한군은 끝내 이씨를 사살했다.안보실이 방치한 사이 수난구호를 해야할 해양경찰 및 중부청도 제대로 움직이지 못했다. 해경과 중부청은 같은 날 18시경 안보실로부터 발견 정황을 전달받고도 '보안 유지'를 사유로 추가정보 파악이나 국방부 등 관계기관에 수색구조 협조요청을 하지 않았다. 정작 이씨를 수색하고 있던 인천해경은 이씨를 발견했다는 정보를 받지 못했고, 이씨가 실종된 지점에서만 계속 수색작업을 진행했다. 해군은 탐색작전을 제대로 수행하지 않았음에도 합참에 부풀려 보고한 것으로 감사원 감사결과 나타났다.북한군이 이씨의 시신을 소각해 상황을 돌이킬 수 없게 되자 정부가 은폐했다는 정황도 감사원 감사에서 드러났다. 국방부는 23일 오전 1시에 관계장관회의를 열어 안보실로부터 받은 보안유지 지침을 공유했고, 같은 날 02시 30분경 합참에 관련 비밀자료를 삭제하도록 지시했다. 합참은 밈스(MIMS, 군사정보체계)에 탑재된 군 첩보 보고서(영구보존 비밀자료) 60건을 삭제했다.이후에도 보안유지 등을 사유로 관련 비밀자료 123건을 밈스 등에 탑재하지 않은 채 삭제했다. 국방부는 23일 13시 30분경 언론에 이씨가 생존 상태인 것처럼 공지하고, 16시 35분경 이씨의 신변 안전 보장을 북에 촉구하는 대북전통문을 발송했다.해경도 이씨의 최초 실종 지점을 중심으로 수색·구조 활동을 지속했다. 이씨가 발견되지 않은 것처럼 연기를 한 셈이다.안보실과 국방부는 또 23일 이씨의 자진 월북 가능성이 높은 것으로 결론을 정한 후 합참에 자진 월북 여부에 대한 정보 분석보고서를 작성해 다음날인 24일 개최되는 관계장관회의에 보고하도록 지시하는 등 '월북몰이'로 몰아간 정황도 발견됐다. 합참은 이씨가 타 승선원과 달리 혼자 구명조끼를 착용하고 있었고, 무궁화 10호 CCTV 사각지점에서 신발이 발견된 점, 북한 해역에서 발견될 당시 소형 부유물에 의지한 점, 북한에 월북 의사가 있다고 말한 점 등을 근거로 '자진 월북 가능성이 높은 것으로 평가된다'는 내용의 보고서를 작성했다. 감사원은 수사 결과 등을 확인한 결과 이씨 혼자 구명조끼를 착용했다거나 신발이 발견된 것은 군첩보에도 없고 사실과 다르다고 지적했다. 특히 이씨가 북측에 직접 월북 의사를 밝혔다는 사실도 최초 북한과의 접촉에는 월북의사를 언급하지 않다가, 거듭된 질문에 월북이라는 답변을 한 것이라고 감사원은 설명했다. 자진월북 의사가 있었다면 처음부터 월북하려는 의도였다고 주장했어야 자연스럽기 때문에, 오히려 월북으로 보기 어렵다는 근거로 봐야 한다는 게 감사원의 판단이다.아울러 감사원은 해경이 이씨의 채무, 도박 정황, 도박자금 흐름·출처 등 사생활을 부당하게 공개하고, 객관적 증거도 없이 월북자로 몰아갔다고 지적했다.감사원은 서욱 전 국방부 장관, 김홍희 전 해양경찰청장 등 주요 인사를 포함한 위법·부당 관련자 13명에 대한 징계·주의를 요구하고, 공직 재취업 시 불이익이 되도록 기록을 남기는 인사 자료 통보를 조치했다.감사원의 감사결과가 나온 뒤 이씨의 형인 이래진씨는 페이스북에 ""저는 경악스러운 문재인 정권과 민주당의 악행을 절대로 용서할 수 없다""면서 ""어떻게 국가의 시스템을 대통령의 잘못된 통치로 국민의 생명과 안보를 이렇게 망쳐버릴 수 있는지 다시 한 번 생각한다""고 일침했다. 이어 ""오늘의 보고서는 명확하게 문재인(전 대통령)의 즉각적인 수사와 조사가 필요하다고 생각한다. 더불어민주당은 정당해산의 필요조건이 충분하다고 본다""면서 ""이제 명확하게 자유대한민국의 기틀을 바로 잡으려면 제대로 짚고 넘어가야 한다""고 명확한 진상조사를 요구했다임재섭기자 yjs@dt.co.kr",2023-12-08 14:44:45
"대전 서구, 행안부 특교세 16억 원 확보","[아이뉴스24 박희석 기자] 대전 서구는 올해 상반기 특별교부세 22억원에 이어 하반기에 16억원을 추가 확보했다고 밝혔다.

이번 확보 사업은 ‘복수초등학교 일원 보행로 확장사업’(2억원), ‘관저동 선유근린공원 조도개선사업’(2억원), ‘도솔산 인근 방범용 CCTV 설치’(3억원), ‘장안로(장태산휴양림) 일원 자동제설장비 설치’(1억원), ‘둔산동 파랑새아파트 일원 보도정비사업’(3억원), ‘탄방동 남선공원 및 보라매공원 방범용 CCTV 설치’(2억원), ‘월평3동 누리보도육교 정비사업’(1억5000만원), ‘월평1동 갑천1보도육교 정비사업’(1억5000만원) 등 총 8개다.

구에서는 최근 발생하는 공원 내 범죄로부터 구민을 보호하기 위해 도솔산과 남선공원, 보라매공원 방범용 CCTV를 설치하고, 선유 근린공원 내 조도개선을 통해 구민의 안전을 도모하고 생명을 보호할 예정이다.

서구 전경[사진=서구]

또 안전한 보행환경을 위해 보도육교를 정비하고 어린이 보호구역에 보행로를 확장하는 예산도 확보해 초등학생이 안전하게 등․하교 할 수 있는 여건도 마련됐으며, 겨울철 장태산휴양림 찾는 관광객을 위해 오르막길 일부 구간에 자동제설장비도 설치할 계획이다.

서철모 청장은 “구민의 안전, 생명, 주민 복리 증진 사업에 필요한 재원 확보를 위해 앞으로 중앙정부, 대전시와 소통하고 협의하겠다”고 말했다.",2023-12-08 14:44:46
"양주시, ‘올 하반기 행안부 특별교부세 14억 원’ 확보","경기 양주시(시장 강수현)는 행정안전부로부터 특별교부세 총 14억 원을 확보해 재정 여건이 어려운 상황 속 시민들의 안전과 지역의 현안을 해결할 수 있는 발판을 마련했다고 7일 밝혔다.

ⓒ양주시 제공

이번 하반기 특별교부세 확보 사업으로는 △복지리 도시계획도로 개설 사업(5억 원)△하천변 자전거도로(마전동 및 봉양동 일대) 정비사업(2억 원)△범죄취약지역 다목적 CCTV 설치(2억 원)△중대 재해예방 안전 관리체계 시스템 구축(2억 원)△하천변(중랑천) 침수우려지역 자동 차단시설 설치(3억 원) 등 총 5건이다.





‘복지리 도시계획도로 개설 사업’은 관내 백석읍 복지리(신지초등학교)부터 동화아파트 사거리까지 도시계획도로를 개설하는 사업이다.





현재 마무리 단계에 있으며 준공 시 도로 이용자의 교통 불편을 해소하고 지역 간 균형 발전에 이바지할 것으로 보인다.





‘하천변 자전거도로 정비사업’은 관내 마전동 및 봉양동 일대 융기된 콘크리트 및 도막 균열 등 이용 환경이 열악한 자전거도로를 재포장하는 사업으로 이용 시민들에게 편익을 제공하고 안전을 확보하기 위해 추진한다.





‘중대 재해예방 안전 관리체계 구축 사업’은 양주시 중대산업재해 예방 또는 선제 대응을 위해 중대 재해 자료 관리 및 예방 체계 확립 등 통합 관리체계를 구축하는 사업이다.





‘범죄취약지역 다목적 CCTV 설치 사업’과 ‘하천변(중랑천) 침수우려지역 자동 차단시설 설치 사업’은 각종 범죄와 자연 재난으로부터 시민들의 안전한 일상생활을 보호하기 위해 추진되는 사업이다.",2023-12-08 14:44:48
"대전 서구, 복수초 일원 보행로 확장 등 행안부 특교세 16억 확보","▲ 대전 서구청사.ⓒ서구

대전 서구는 7일 행정안전부로부터 복수초등학교 일원 보행로 확장사업(2억 원) 등 8개 사업 특별교부세로 16억 원을 확보했다고 밝혔다.





확보된 사업은 △복수초등학교 일원 보행로 확장사업(2억 원) △관저동 선유근린공원 조도개선사업(2억 원) △도솔산 인근 방범용 CCTV 설치(3억 원) △장안로(장태산휴양림) 일원 자동제설장비 설치(1억 원) △둔산동 파랑새아파트 일원 보도정비사업(3억 원) △탄방동 남선공원 및 보라매공원 방범용 CCTV 설치(2억 원) △월평3동 누리보도육교 정비사업(1.5억 원) △월평1동 갑천1보도육교 정비사업(1.5억 원) 등 총 8개다.





구는 최근 공원 내 범죄예방과 구민 보호를 위해 도솔산 남선공원, 보라매공원 방범용 CCTV를 설치했고, 선유 근린공원 내 조도개선할 예정이다.





구는 보도육교 정비와 어린이 보호구역에 보행로 확장 예산 확보했고, 겨울철 장태산휴양림 찾는 관광객을 위해 오르막길 일부 구간에 자동제설 장비도 설치할 예정이다.





서철모 구청장은 “구민의 안전, 생명, 주민 복리 증진 사업에 필요한 재원 확보를 위해 앞으로 중앙정부, 대전시와 소통하고 협의하겠다”고 말했다.",2023-12-08 14:44:51
[7일 광주시] 행안부 특별교부세 24억원 확보,"advertisement

advertisement

[아시아타임즈 경기취재본부=임성민 기자] 광주시는 행정안전부로부터 올해 하반기 특별교부세 24억원을 확보했다고 7일 밝혔다.

이번에 확보한 예산은 지역 현안 사업비로 △광주 종합운동장 건립 사업(8억원) △광주시 반다비 체육센터 건립 사업(10억원)이며 재난 수요 사업비로 △오포권역 방범용 CCTV 확충 사업(2억원) △초월읍 방범용 CCTV 확충 사업(1억원) △곤지암·경안 방범용 CCTV 확충사업(2억원) △탄벌·광남 방범용 CCTV 확충 사업(1억원) 등 6개 사업이다.

advertisement

advertisement

특히, 시가 중점적으로 추진하고 있는 체육시설 건립 공사에 재원이 확보되면서 체육 기반시설 확충에 더욱 탄력을 받게 될 것으로 기대된다.

민선 8기 공약사업 보고회 개최 ‘시민과의 약속이행 순항’

광주시는 최근 시청 상황실에서 민선 8기 공약사업 추진 현황 보고회를 개최했다.

이번 보고회는 2023년을 마무리하며 그동안 추진된 민선 8기 공약사업 현황을 점검해 문제점을 파악하고 해결 방안을 논의하며 시민과의 약속이행에 최선을 다하기 위해 마련됐다.

광주시 민선 8기 공약사업은 지난 4일 기준 총 90개 공약사업 중 33개 사업이 완료돼 36.7% 이행률을 나타내고 있다.

방세환 시장의 주요 공약은 △지하철 8호선 연장 △광역버스 노선 신설 △그린 스파이더웹 라인 구축 △세계관악컨퍼런스 유치 △e스포츠 대회 개최 △마이스 산업을 통한 도심 및 역세권 활성화 △복합도시계획 수립 및 성장관리계획 지역별 세분화 등 사업을 시민에게 약속했다.

이 중 ‘마이스 산업을 통한 도심 및 역세권 활성화’ 공약은 지지부진하던 역세권 개발사업을 특유의 결단력과 추진력을 바탕으로 지난 11월 ‘광주 역세권 상업‧산업용지 복합개발사업’ 협약을 체결해 순항 중으로 향후 시의 랜드마크가 될 것으로 기대하고 있다.

또한, ‘2040 광주 도시기본계획’은 미래를 대비하는 공간계획의 조속한 실행으로 목표연도까지 인구 50만 자족도시로 성장을 도모해 지속 가능한 도시발전을 이룰 계획이다.

아울러, ‘세계관악컨퍼런스 유치’도 개최 확정 후 조직위 구성을 통해 대회를 준비 중이다.

이웃돕기 공개방송 모금행사 진행

광주시는 오는 15일 오후 2시부터 4시까지 광주시 문화스포츠센터 3층 다목적체육관에서 ‘희망 2024 나눔으로 행복한 광주’ 공개방송 모금행사를 진행한다.

이번 행사는 연말연시 어려운 이웃을 돕기 위해 경기도 사회복지공동모금회 주최로 관내 기업 및 단체의 이웃돕기 합동 기탁식, 관악공연 등 축하공연으로 다채롭게 이뤄질 예정이며 광주시민과 관내 기업·단체들이 마음을 모아 지역사회에 따뜻한 희망의 메시지를 전달하게 된다.

후원 성금은 계좌이체와 행사 기간 중 현장 모금을 이용해 기부할 수 있으며 현물은 아동복지과 이웃돕기 담당자에게 문의해 기탁을 진행할 수 있다.

한편, 모금된 기부금은 취약계층 생계·의료·주거환경개선비 지원사업, 푸르미가게 운영지원, 사랑의 빨간밥차 운영지원, 고독사 예방사업 등 복지사업에 쓰이게 된다.

지방세 납세 정보 제공 탁상 달력 배포

광주시는 시민들에게 유익하고 다양한 납세 정보를 제공하기 위해 2024년 탁상 달력을 제작·배포한다고 7일 밝혔다.

지방세 안내 달력에는 월별로 각 세목별 과세 대상과 세율, 지방세 납부 시기, 알아두면 유익한 정보 등이 한눈에 알아보기 쉽게 기재됐다.

특히, 탁상 달력 뒷면에는 광주시 향토 작가의 들꽃 그림을 넣어 광주시 곳곳에서 계절별로 피어나는 들꽃을 감상할 수 있다.

시는 지방세 안내 달력을 시민에게 배부함으로써 납세자의 불이익을 최소화하고 알권리를 충족하며 자진 납세 분위기를 조성하는 데 기여할 것으로 기대하고 있다.

한편, 달력은 오는 15일부터 읍·면·동 주민센터의 민원창구와 시청 세정과를 방문하면 선착순으로 배부받을 수 있다.

'제71주년 재향군인의 날 기념행사' 개최

광주시는 지난 6일 광주하남상공회의소 대강당에서 ‘제71주년 재향군인의 날 기념행사’를 개최했다.

행사에는 방세환 시장, 주임록 시의회 의장, 각 보훈단체 및 사회단체장, 향군회원 등 120여명이 참석했으며 안보 단체로 반세기를 걸어온 광주시 재향군인회의 발자취를 담은 영상 상영과 유공자 시상식 등 1부 기념식 행사와 2부 만찬 및 공연 등의 순서로 진행됐다.

시상식에서는 정영기 광주시 재향군인회 회원 등 15명이 지역안보 유공 표창장을 받았으며 광주시 재향군회에서 개최한 ‘나라사랑 광주사랑 안보논술대회’에서 입상한 광주고등학교 김범수 학생 등 3명이 상장을 받았다.

광주 동화사랑 협회 발족식 개최

지난 5일 광주문화원 중회의실에서 광주 동화사랑 협회 발족식을 가졌다.

동화를 사랑하는 사람들이 순수한 동심을 바탕으로 즐겁고 행복하게 지역봉사 활동을 통하여 건전한 사회를 이루는데 기여함을 목적을 두고 발족한 이날에서 행사에는 광주문화원장을 비롯한, 동화사랑 연구소장(이규원),광주문인협회장(김한섭), 동화콘텐츠문화원장(이규용)등 회원 20여명이 참석하여 발족에 따른 위촉장 수여등 나름 임원진들을 구축하여 앞으로 나아가야할 기틀을 마련 하였다.

동화사랑 협회 회원은 광주문화원에서 운영중인 문화학교 동화구연반 학생들이 대부분이지만 앞으로 확대해 나간다는 계획을 가지고 있다.",2023-12-08 14:44:53
"영광군, AI(조류인플루엔자) 사전방역 총력","영광군, AI(조류인플루엔자) 사전방역 총력(사진제공=영광군)

매일일보 = 김명일 기자 | 최근 인근지역인 전남 고흥군, 무안군에서 고병원성 AI가 연이어 발생함에 따라 영광군도 차단방역에 총력을 기울이고 있다고 밝혔다.

조류인플루엔자는 닭, 오리, 철새 등 조류에 전염되는 전신성·호흡기성 질병으로 감염된 조류로 인해 오염된 먼지, 물, 분변 등에 묻어 있는 AI 바이러스의 직접 접촉이 주된 전파경로이다.

영광군은 9년 연속 AI청정지역을 유지하기 위해 외부에서 방문하는 차량 및 인원이 관내 축산농가 방문 시 거점소독시설에서 소독 후 방문할 수 있도록 의무화함으로써 방역효과를 극대화였고, 축산농가에 각종 방역시설(소독기, CCTV, 울타리 등)을 지원함으로써 축산농가가 자체적으로 방역활동을 수행함으로써 민·관이 함께하는 사전방역 활동에도 총력을 기울이고 있다.

그 외에도 광역 방제기, 드론, 공군 제독차량을 이용, 상시 방역을 시행하는 등 조류인플루엔자 차단에 행정력을 집중하고 있다.

영광군 관계자는 “앞으로도 방역시설을 지속적으로 지원하여 가축질병 병원체의 유입을 사전 차단함으로써 AI청정지역을 만드는데 최선을 다할 것”이라고 전하며, “AI를 예방하기 위해서는 철새서식지와 가금농가 방문을 자제하고 특히 철새서식지에서 분변을 밟지 않도록 유의하고, 철새 군락이 사람·차량에 놀라 흩어지지 않도록 안전거리를 유지하고 철새 서식을 방해하는 소음 발생, 위협행위 등을 하지 말아야 한다”고 전했다.

저작권자 © 매일일보 무단전재 및 재배포 금지",2023-12-08 14:44:54
"양천구, 공영주차장 스마트시스템으로 탈바꿈","가로공원 공영주차장에 방범+주차편의 기능 탑재한 지능형 폐쇄회로카메라 90대 시범

모션센서·카메라 연동돼 자동녹화 ・주차가능여부 표시, 주차위치 확인용 키오스크 설치

​​​​​​​입구 전광판에 주차 가능 면수 표시, 영상자료 관제센터로 실시간 전송돼 저장 · 관리

양천구, 지능형 폐쇄회로카메라를 시범 도입한 가로공원 공영주차장 전경. 사진=양천구 제공

매일일보 = 백중현 기자 | 양천구가 안전하고 편리한 주차환경을 조성하기 위해 가로공원 공영주차장에 방범기능에 주차 편의 기능까지 탑재한 ‘지능형 폐쇄회로카메라(CCTV)’ 90대를 설치하고 이달부터 본격 운영한다고 7일 밝혔다.

신월1동에 위치한 가로공원 공영주차장은 지난 2012년 개장 이후 올해로 조성된 지 11년째를 맞이한 곳으로 지하 1~2층, 총 376면의 주차면을 제공하고 있다. 그 중 내부에 설치된 아날로그 폐쇄회로카메라 74대는 방범 기능만 갖춘 데다 노후도가 심하고, 통합주차관제센터와도 연계되지 않아 각종 민원을 야기해왔다.

이에 구는 기존 카메라를 500만 화소 고해상도 렌즈가 탑재된 다기능 지능형 폐쇄회로카메라(CCTV) 90대로 교체해 성능을 크게 개선했다. 주차면마다 설치된 모션 센서가 입 · 출차 등의 움직임을 감지하면 천장의 지능형 폐쇄회로카메라가 차량번호 등을 자동 녹화하고, 인공지능 시스템이 영상을 분석해 주차가능 여부를 조명 색깔로 표출한다.

양천구, 가로공원 공영주차장에 설치된 지능형 폐쇄회로카메라

또한 주차 위치 확인용 키오스크를 설치, 이용자가 차량 번호를 입력하면 화면에 촬영된 차량 번호와 주차위치도, 이동 동선을 표시해 쉽게 찾을 수 있도록 했다. 주차장 입구에는 입차 시 주차 가능 면수를 확인할 수 있는 대형 전광판을 설치했다.

지능형 폐쇄회로카메라(CCTV)로 촬영된 주차장 영상자료는 방범 사각지대 해소를 위해 ‘양천구통합주차관제센터’로 실시간 전송돼 저장· 관리되며 사건, 사고 발생 시 기록 자료로 활용된다.

구는 이번 시범설치 운영결과를 토대로 향후 관내 공영주차장에 확대 설치 방안을 검토할 방침이다.

이기재 양천구청장은 “구민의 이용 편의를 위해 방범 기능뿐만 아니라 주차편의 시스템을 적용한 다기능 지능형 폐쇄회로카메라를 도입해 스마트한 공영주차장을 운영한다”면서 “앞으로도 주차환경개선사업을 지속 추진해 주차가 편리하고 주민이 안전한 양천을 조성해 가겠다”고 말했다.

저작권자 © 매일일보 무단전재 및 재배포 금지",2023-12-08 14:44:56
[7일 이천시] 하반기 특별교부세 30억 원 확보,"advertisement

advertisement

[아시아타임즈 경기취재본부=임성민 기자] 이천시는 행정안전부로부터 2023년도 하반기 특별교부세 30억 원을 확보했다고 밝혔다.

특별교부세는 지방자치단체의 당면 현안사업이나 재난 등 예기치 못한 재정수요를 고려해 중앙정부가 배분하는 예산으로 지역현안, 재난안전 분야 등의 재원으로 활용된다.

advertisement

advertisement

이천시가 이번에 확보한 특별교부세 대상사업은 △모전~도지 간 도로확포장 공사(14억원) △마장면 체육공원 인조잔디 교체공사(6억원) △지능형 CCTV 구축사업(4억원) △산성리 세천 정비사업(2억원) △주미 배수펌프장 펌프 교체(4억원) 사업으로 시민 불편 사항 해결 및 지역 주민 안전 강화에 초점을 맞췄다.

모전~도지간 도로 확·포장 공사는 총 310억원 규모, 2024년 4월 준공 예정으로 시민들의 교통편의를 증진을 위해 추진되는 사업이다.

마장면 체육공원 인조잔디 교체공사는 노후된 인조잔디로 인한 주민들의 안전사고 발생 예방을 위해 교체하는 사업이다.

지능형 CCTV 구축사업은 강력범죄 예방 및 실종자 수색을 위해 AI 기능을 탑재한 지능형 CCTV의 확대 구축으로 주민 안전 강화를 위해 추진되는 사업이다.

산성리 세천 정비사업 및 주미 배수펌프장 펌프 교체 사업은 집중 호우로 인한 주민 피해 예방을 위해 추진되는 사업이다.

마장면 ~ 작촌리 시도 19호선 도로 우선 개통

이천시는 주민숙원 사업인 작촌∼해월 간(시도19호선) 도로를 12월 8일 우선 개통한다고 밝혔다.

이번에 우선 개통되는 도로는 마장면 작촌리에서 해월리를 연결하는 시도19호선으로 도로연장 1.85km, 폭 10.5m, 생태터널 1개소의 2차로로서 사업비는 167억(국비 50억, 시비117억)원이 투입됐다.

그동안 마장면 해월리는 지산포레스트가 입지하여 주말 및 관광 성수기 교통량이 지속적으로 증가하고 있음에도 도로가 협소하여 지역주민들과 지산리조트를 이용하는 관광객들이 통행에 많은 어려움을 겪어 왔지만 금회 시도 19호선 도로망을 확충 함으로써 통행불편 해소는 물론 장래 교통수요를 충족 시킬 수 있을 것으로 기대하고 있다.

주민들도 도로 개통 후 통행시간 단축될 뿐만 아니라 개발 여건 조성으로 지역 경제 활성화에 기여할 것으로 보인다면서 크게 반기고 있다.

이천시농업기술센터, 농업기술보급혁신 우수사례 경진대회 ‘최우수상’

이천시농업기술센터는 농촌진흥청 주관 '2023년 농업기술보급혁신 우수사례 경진대회' 신기술 현장확산분야에서 최우수상을 수상했다고 밝혔다.

경진대회는 전국 농업기술센터를 대상으로 1차 서류심사와 2차 발표심사를 거쳐 농업기술 혁신 및 농가소득 향상에 기여한 분야별 우수사례를 선정하는 대회로, 올해는 전국 31개 기관이 제출했다.

시는 '과채류 부산물 한우 사료화 기술 시범'으로 축산농가가 겪는 사료비 부담을 감소시키고 농가소득 증대에 기여한 공로를 인정받아 신기술 현장확산분야에서 최우수상을 수상했다. 맥주를 만들고 남은 맥주박 등 부산물을 배합사료로 제작하여 부산물 생산업체의 폐기물 처리비용을 줄이고 농가의 사료비를 낮추는 사업으로 지난해 2개 농가를 대상으로 사업을 실시했다.

축산농가의 배합사료에 부산물을 이용함으로써 생산단가를 낮추고 기호성과 영양성분을 높여 최근 경영난에 시달리는 축산농가의 호응을 얻어내고 사업의 실효성이 검증되어 부산물 활용가치에 대한 기반을 마련했다.

창전동 지역사회보장협의체 주거환경 개선사업 ‘창전동 행복충전소’ 운영

이천시 창전동지역사회보장협의체는 6일 마을복지계획 특화사업 중 주거환경 개선사업인 '창전동 행복충전소'를 운영했다.

이 사업은 복지사각지대 발굴을 통해 선정된 관내 저소득 주거취약계층 가구에 위생적인 주거환경을 제공해 주는 사업으로 이번 대상자는 노후된 빌라에 곰팡이가 많이 피어있는 곳에서 생활하고 계셔 연로한 나이에 폐질환까지 있는 대상자에게는 주거환경 개선 지원이 절실했다.

이희종 창전동장은 “앞으로도 복지사각지대 발굴을 통해 주거환경개선 뿐만 아니라 다양한 복지 욕구를 가진 대상자에게 적절한 복지서비스를 제공하기 위해 창전동에서도 최선을 다하겠다”고 말했다.",2023-12-08 14:44:57
"경기 광주시, 행정안전부 특별교부세 24억원 확보","큰사진보기 ▲ 경기 광주시는 행정안전부로부터 올해 하반기 특별교부세 24억원을 확보했다고 7일 밝혔다. ⓒ 광주시 관련사진보기

경기 광주시는 행정안전부로부터 올해 하반기 특별교부세 24억원을 확보했다고 7일 밝혔다.이번에 확보한 예산은 지역 현안 사업비로 ▲광주 종합운동장 건립 사업(8억원) ▲광주시 반다비 체육센터 건립 사업(10억원)이며 재난 수요 사업비로 ▲오포권역 방범용 CCTV 확충 사업(2억원) ▲초월읍 방범용 CCTV 확충 사업(1억원) ▲곤지암·경안 방범용 CCTV 확충사업(2억원) ▲탄벌·광남 방범용 CCTV 확충 사업(1억원) 등 6개 사업이다.특히, 시가 중점적으로 추진하고 있는 체육시설 건립 공사에 재원이 확보되면서 체육 기반시설 확충에 더욱 탄력을 받게 될 것으로 기대된다.방세환 시장은 ""이번 특별교부세 확보를 위해 애써주신 지역 국회의원(소병훈‧임종성 의원)께 감사드린다""며 ""어려운 시기에 확보한 재원인 만큼 시민의 안전과 행복을 위해 사업 추진에 최선을 다하겠다""고 말했다.",2023-12-08 14:44:59
