제목,기사 내용,타임스탬프
"악성 민원에 멍드는 민원부서 공무원들…전주시, 대응 모의훈련","지난 8일 전주시청 민원실에서 한 민원인이 고성을 지르며 막말을 쏟아내고 있었다. 담당 팀장이 개입해 진정을 유도했음에도 막무가내식 발언이 이어지자 민원인에게 고지 후 녹음을 시작했고, 청원경찰에게도 도움을 요청했다. 그럼에도 민원인은 자기 주장을 계속했고, 이에 지구대와 연결된 비상벨을 눌러 경찰이 출동한 뒤에야 상황이 종료됐다.

당시 상황은 민원인이 공무원에게 폭언과 폭행을 가하는 특이민원 발생을 가정해 전주시가 경찰과 합동으로 실시한 모의훈련이었다. 악성민원에 시달리던 김포시 소속 9급 공무원 A씨가 지난 5일 스스로 생을 마감하는 사건이 발생함에 따라 공무원들을 보호하기 위한 대책마련 차원에서 실시됐다.

13일 전주시에 따르면 2019~2023년까지 최근 5년간 악성민원 등으로 상담비가 지원된 소속 공무원은 26명으로, 총 671만원이 지불됐다. 지난 1월30일에는 고용승계를 요구하는 단체가 시청사 진입을 시도하다 청사방호에 나선 직원들과 충돌, 청원경찰이 밀려 넘어지며 입원치료를 받기도 했다.

악성민원은 주로 서류발급이나 다수의 시민을 상대하는 민원실, 주·정차나 가로정비를 책임지는 부서, 청소나 건축 관련 민원, 고질적 민원을 다루는 감사실 직소조사관 등에 집중되고 있다. 특히 사회복지 관련 부서에서는 자격요건이 안 되는 걸 알면서도 ‘굶어 죽는다’, ‘쌀 내놔라’ 등의 읍소나 협박을 가하는 경우도 종종 발생하는 것으로 알려지고 있다.

전주시는 지난 2022년 7월 개정된 행정안전부의 ‘공직자 민원응대 매뉴얼’을 준용하면서도, 악성민원에 대한 공무원 보호 및 지원에 관한 조례를 지난해 6월 별도로 제정해 시행하고 있다. 또한 최근에는 각 부서별 출입구에 있는 직원배치 현황판에서 얼굴사진을 삭제하고, 현장에 출동하거나 일직·숙직 등 공무상 연락이 필요한 경우 개인정보 보호를 위해 업무폰을 제공하는 등의 대책을 시행하고 있다.

한국노총 전주시 공무원노조 정완순 위원장은 “예전보다는 시민의식이 높아져 악성민원이 많이 준 것은 사실이지만 지금도 잊을만 하면 한번씩 그런 민원인이 나타난다”며 “민원인 입장에서는 서운할 수도, 억울할 수도 있겠지만 공무원도 누군가의 가족이며, 내 가족일 수도 있다는 마음으로 대해 주셨으면 한다”고 말했다.

김상기 기자

저작권자 © 전북도민일보 무단전재 및 수집, 재배포 금지",2024-03-30 01:23:27
"""강도사건 막자"" 대전유성署 상호금융기관 방범진단","대전유성경찰서는 13일 신성지구대와 함께 유성구 신성동 소재 새마을금고를 찾아, 은행 지점장과 종사자를 대상으로 강도 예방을 위한 범죄예방 진단 활동과 집중 순찰을 실시했습니다.



유성서는 이날 은행 내외 CCTV와 비상벨 작동, 출입문 잠금장치 등 정밀진단을 실시하고 경비인력 고용, CCTV 및 비상벨 확층 등 범죄환경 개선에 대해 상호 노력하기로 협의했습니다.



유성경찰서 관계자는 ""내달까지 다액취급업소 특별예방활동기간으로 설정하고 경비인력이 없는 상호금융기관 중심으로 연계 순찰 노선을 지정, 집중적으로 순찰을 실시해 범죄심리를 사전에 차단하는 등 안전한 치안 환경 조성에 앞장서겠다""고 말했습니다.

요약 정보 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다.",2024-03-30 01:23:29
"달성군, '전국서 가장안전한 도시' 인정받았다","행안부 지역안전지수 평가서

전국 상위 4%·군 단위 ‘1위’

범죄 취약지 CCTV 등 설치

대구 달성군 청사 전경. 사진=달성군 제공

저작권자 © 경북도민일보 무단전재 및 재배포 금지



▶ 디지털 뉴스콘텐츠 이용규칙 보기 경북도민일보는 한국언론진흥재단의 디지털 뉴스콘텐츠 이용규칙에 따른 저작권을 행사합니다 >

대구 달성군이 전국 82개 군 단위 지방자치단체 가운데 ‘가장 안전한 도시’임을 입증했다.13일 달성군에 따르면 행정안전부의 6개 분야 지방자치단체 안전 역량 수준을 따져 매기는 ‘2023년 전국 지방자치단체 지역안전지수 평가’에서 전국 군 단위 중 1위를 기록했다.이 평가는 교통사고·생활안전·감염병·화재·범죄·자살 등 총 6개 항목을 각 지표에 따라 분석·발표하는 것으로 1~5등급으로 나뉘며, 1등급에 가까울수록 상대적으로 안전한 수준으로 여긴다.특히 달성군은 6개 항목 중 교통사고·생활안전·화재 등 3개 분야에서 9년 연속 1등급을 받았다.또 6개 분야도 평균 2등급을 받아 안전도시로서의 위상을 유지했다.이는 대구 9개 구·군 중에서도 1위다. 전국 226개 시·군·구 중에선 상위 4%에 해당, 전국 최고 수준의 안전 도시임을 증명했다.앞서 달성군은 지난해 8월 주요 등산로 입구와 근린공원 등 이용객이 많거나 범죄 취약 지역에 방범용 CCTV와 스피커, 비상벨 등을 설치했다.또 같은 해 10월에는 한국수자원공사 낙동강유역본부와 자살 예방을 위한 업무협약을 체결해 관련 시설 개선 및 상호 협력, 사고 위기 대응 등 지역사회 위험환경 개선에 힘을 쏟고 있다.최재훈 달성군수는 “전국 최고 수준의 안전한 도시로 인정받아 매우 기쁘다”며 “앞으로도 군민들이 더욱 안심하고 생활할 수 있도록 안전하고 살기 좋은 달성군을 만드는 데 최선을 다하겠다”고 말했다.",2024-03-30 01:23:31
"제주도 자치경찰단, 제주형 보호구역안전문화운동 본격 추진","제주특별자치도 자치경찰단 안전문화 운동 전개. (사진=제주자치경찰단 제공)

(CNB뉴스=장병대 기자) 제주도 자치경찰단은 13일 오전 8시 남광초등학교를 시작으로 제주형 보호구역 안전문화운동을 연중 추진한다.



사전 수요조사를 통해 신청한 도내 11개 초교를 중심으로 매월 1~2회 지속적으로 실시하며, 방학기간과 노인의 날, 장애인의 날에는 노인·장애인 보호구역에서 연중 전개한다.



제주도의회, 자치경찰단, 안전정책과, 도 교육청, 행정시 교육지원청, 학교학부모회, 자치경찰주민봉사대, 지역자생단체 등이 참여해 보호구역 현장을 살펴 개선방향을 논의하고 보다 많은 도민이 보호구역 안전에 대한 관심과 공감대 형성을 할 수 있도록 다양한 방안을 도모한다.



이번 보호구역 안전문화운동은 기존 전달식 캠페인 방식과 차별화해 각 단체·기관별 특성에 맞게 3개 분야로 역할을 분배하고, 협업을 통해 참여자들의 동참을 이끌어 내는 방식으로 진행된다.



어우러짐 캠페인 활동으로 캠페인 구성·실행·홍보 등 전 분야에 걸쳐 현장 의견을 반영하고, 함께 어우러져 보호구역 내 교통안전수칙 준수 및 교통취약계층 안전 최우선 확보 분위기를 조성한다.



안전시설 점검·개선 활동으로 캠페인 활동과 함께 보호구역 전반에 걸쳐 교통취약계층의 시선으로 안전위험요소를 점검하고, 개선이 필요한 사항은 최우선으로 추진해 변화와 성과를 체감하도록 한다.



체험형 안전교육 활동으로 보호구역 내 혼잡지역, 사각지대, 공사현장 등에서 안전교육강사(교통경찰관 등)와 함께 행동요령·유의사항 등을 배우고 체험한다.

특히 어린이들에게는 돌발·위급상황 대비 방범용 폐쇄회로 텔레비전(CCTV) 비상벨 체험 교육도 추가로 진행한다.



다양한 활동을 통해 제주사회에 보호구역 안전의 중요성과 공공캠페인의 역할 및 필요성을 알려 도민들의 참여 의지를 높이고 실천행동을 이끌어 내 도민 주도형 공공캠페인으로 변화를 모색한다.



한편, 제주도는 전국 광역시 중 최고 수준의 보호구역 지정률과 개선으로 취약계층 교통안전 강화를 추진하고 있으며, 국무조정실 성과관리, 지자체 합동평가에도 포함시켜 구체적 목표 설정 및 달성을 위해 만전을 기하고 있다.

오광조 자치경찰단 교통정보센터장은 “보호구역 지정·개선과 더불어 안전문화운동 활동의 구체적 성과목표를 설정한 만큼 달성에 만전을 기할 것”이라며 “도민이 공감·체감·감동할 수 있는 안전문화운동으로 발전시켜 나가겠다”고 말했다.",2024-03-30 01:23:33
윤영석 예비후보 '명품도시 양산 건설' 공약 발표,"“토지이용·산업단지 규제 혁신으로 복지·일자리·안전 3마리 토끼 잡겠다”

▲ 윤영석 예비후보

저작권자 © 경남도민신문 무단전재 및 재배포 금지

윤영석 예비후보(양산시 갑구, 국민의힘)는 13일 오전 9시30분 양산시청 프레스센터에서 ‘대한민국 대표 명품 도시 양산’건설을 위한 세대별·분야별 맞춤형 공약을 발표했다. 특히, 윤 예비후보는 규제 혁신을 통해 일자리·경제는 물론 복지와 안전 3마리 토끼를 잡겠다는 야심찬 계획을 발표했다. 이와 함께 20·30 청년세대와 양육 학부모 및 어르신, 교육·문화, 소상공인 지원 정책 등 세대별·분야별 맞춤형 정책도 발표했다. 윤 예비후보는 양산시의 정주여건을 획기적으로 개선해 전국에서 많은 인구가 모이는 대한민국 명품도시 인구 50만 양산을 건설하겠다는 계획이다.먼저 윤 예비후보는 양산 맞춤형 특례 확대와 규제 혁신으로 양산의 일자리를 창출하고 경제를 활성화하는 방안으로 윤 의원은 ▲‘토지에 대한 각종 규제’를 전면 재검토해 22대 국회에서 ‘개발제한구역법’ 및 ‘국토계획법’ 등 관련법령 개정을 통해 양산시 그린벨트 2150만평 (7086만5915㎡)에 대한 규제 해제를 추진하겠다고 밝혔다. 이를 토대로 증산 신도시 건설 등 양산 발전에 밑거름을 만들고 ▲산업단지내 복합 시설용지에 대한 규제를 혁신해 청년 근로자들이 선호하는 근무환경을 조성해 우수 인재가 양산에 활발히 유입될 수 있도록 하며 ▲한시적으로 규제의 적용 및 시행을 유예하는 조치(한시적 규제유예)를 적극 발굴, 양산시 및 중앙부처와 협의해 유예 조치를 실시하겠다고 밝혔다.한편, 윤 의원은 관계법령 개정을 통한 복지 확충 방안으로 윤 의원은 ‘농지법’ 등 개정을 통해 ▲자투리 절대 농지에 대한 규제를 풀어 체육·문화 복지 시설 등을 조성해 현재 복지·체육 시설이 절대 부족한 원동면·상북면·원동면 지역에 실내수영장, 체육관, 종합복지시설 건립을 추진하겠다고 밝혔다. 중앙동·삼성동·강서동 등 구도심의 기능 회복을 위한 특례를 적극 적용해 기존 용도지역을 탈피한 건축규제(용도, 용적률, 건폐율 등) FREE ZONE을 도입 주거·문화·생활·상업·업무시설을 효율적으로 재구축하는 융복합개발 추진해 보육·교육환경을 갖춘 친환경 컴팩트 시티를 조성하고 ▲청년·신혼·출산가구 맞춤형 주택 공급을 통해 주거 환경 개선에 적극 나서겠다고 밝혔다.또한 산업재해로부터 안전한 양산 건설을 위해 경영주 처벌에만 중점을 두고 있는 징벌적 규제가 아닌, 안전한 근무 환경을 구축을 위해 ‘산업안전 대진단’을 고용노동부와 함께 실시해 기업·지역 특성에 맞는 컨설팅·교육·기술지도 및 시설개선을 포함한 재정지원 등을 맞춤형으로 지원하고 중소기업이 안전보건체계를 마련하는 기간 동안 관련 규제를 유예해 안전한 산업안전보건 환경을 구축하겠다고 밝혔다.다음으로 세대 맞춤형·분야별 공약으로 먼저 육아에 지친 여성을 지원하고, 육아 비용 부담을 낮추기 위해 ▲육아휴직 급여 상한 210만원 인상 및 유급 자녀돌봄휴가 확대하고▲양산 지역 산단을 중소기업 맞춤형 '일·가정양립 산단'으로 육성해 대체인력 고용을 지원하며 ▲늘봄학교 혁신으로 고품질 초등교육 및 돌봄 공백을 촘촘히 채우겠다고 밝혔다. 또한 그동안 정책 사각지대가 존재했던 ▲자영업자, 농어민, 예술, 프리랜서의 육아를 위해 일·가정양립제 확대하겠다고 밝혔다. 한편, 그동안 지역내 돌봄 공백을 채워왔던 ▲양산 지역아동센터 종사자들의 처우 개선에도 적극 나서겠다고 밝혔다.한편, 청년·여성을 위해 ▲‘청년 문화예술패스'를 확대하고 ▲대학학자금 대출 금리인하로 청년 학생 부담완화를 추진하며, 각종 흉악범죄로 불안감을 느끼는 여성들을 위해 ▲CCTV확충 및 노후화된 CCTV 조기교체, ‘귀갓길 동행벨’을 확대 운영하고 ▲휴대용 SOS 비상벨 등 ‘안심 물품 세트’ 지원 및 ‘안심 무인 택배함’ 설치를 확대하는 한편, 흉악범죄 처벌을 강화(가석방 없는 무기형 신설 등)해 범죄예방에도 앞장서겠다고 밝혔다.어르신들을 위한 맞춤 공약으로는 ▲간병비 부담 국가 책임 강화, 간병비용의 연말정산 세액 공제 도입하고 ▲희망하는 모든 치매 어르신에게 ‘위치 감지기’ 보급하며 ▲경로당·노인복지관을 통한 점심 제공을 주7일까지 단계적 확대하는 한편, ▲노년기에 자주 발병하는 질병 특화 국가검진 체계도 개선하겠다고 밝혔다. 또한, 상·하북 및 원동면 지역의 119 등 응급 의료 체계를 보강해 양산의 모든 어르신께 의료 격차가 발생하지 않도록 하겠다고 밝혔다.한편, 명품 교육·문화도시 양산을 위해 ▲양산 문화예술의전당을 공연장, 미술관 등 복합시설로 국비 지원을 받아 조속히 건립하고 ▲초등학생 맞춤형 '첫걸음 문화예술교육'을 확대하고 ▲안전한 통학환경 스마트스쿨존을 조성하며 ▲노후 학교 시설 개선을 지속적으로 추진하겠다고 밝혔다. 또한, ▲영어 교육 등이 포함된 늘봄학교를 무상 시행해 초등 학부모 사교육비 경감하며 ▲늘봄학교에 지역 문화예술인, 단체와 연계한 문화예술 교육 실시하고 ▲순수예술 분야와 신기술(AI·VR 등)을 융합한 교육 프로그램 확대해 융합창의인재 양성에 적극 나서기로 했다.마지막으로 코로나 19 엔데믹이 되었지만 아직까지 경제적 타격에서 회복하지 못하고 있는 양산지역 소상공인을 위해 소상공인을 위해 ▲남부시장 아케이드 신규 설치 ▲북부시장 냉방장치 설치 ▲물금신도시에 전통시장 설립 ▲서민과 소상공인을 위한 중·저신용자 대출 확대 및 수수료 인하 ▲소상공인 보증 및 정책자금 지원을 대폭 상향하는 한편, 소상공인 점포 이용 활성화를 위해 ▲소상공인 점포 신용카드 사용액 소득공제 50% 신설 추진도 밝혔다.한편, 7천 명에 육박하는 양산 지역 이주민을 위해 이민청 설치 추진과 함께 양산지역 이주민에 대한 정확한 실태조사와 함께 정부의 정책지원 예산을 대폭 확대해 복지를 강화하고 우리 사회 정착을 적극 지원해 사회통합에 나서겠다고 밝혔다.윤 예비후보는 “양산은 경남 3대도시이자 살기 좋은 도시 2위의 명품도시다”라며 “양산이 인구 증가, 도시 인프라 확충 등 양적 성장은 물론 눈부신 질적 발전을 이루었으며, 이 모든 것은 양산시민 여러분께서 이루신 자랑스러운 결과”라고 양산 시민 여러분께 감사의 말씀을 올렸다. 이어 “지금은 전국에서 가장 살기 좋은 도시로 도약할 골든타임이며, 이를 위해 인구 50만 명품도시 양산을 만들기 위해 생활밀착 민생정책을 강화해야 한다”라고 강조하며 오늘 발표 공약의 중요성을 강조했다. 차진형기자",2024-03-30 01:23:33
진해서 제62회 진해군항제 맞이 사전 범죄예방진단,"▲ /진해경찰서

저작권자 © 경남도민신문 무단전재 및 재배포 금지

진해경찰서(서장 김영호)는 지난 12일 제62회 진해군항제를 맞이하여 많은 상춘객이 방문할 것으로 예상되는 경화역 및 여좌천 등 주요 관광지를 대상으로 오전에는 경찰서장, 범죄예방대응과장, 해당 지역경찰관서장, 범죄예방진단팀이 오후에는 진해구청 환경미화과와 합동으로 범죄예방진단을 실시했다.이날 실제 상춘객들의 동선을 고려하여 이용할 시설을 중심으로 공중화장실 비상벨, CCTV 등 작동상태를 집중 점검했다. 그리고 범죄 사각지대가 발생하지 않도록 군항제 기간 112신고가 많은 지역을 중심으로 경찰 全기능이 맞춤형 범죄예방 활동을 실시할 예정이다.또한, 범죄예방진단을 통해 취약개소로 파악된 공중화장실에 대해 환경개선(비상벨)을 추진해나가기로 지자체와 협의했다.김영호 진해경찰서장은 “많은 상춘객이 예상되는 만큼 진해군항제가 안전하게 마무리될 수 있도록 범죄예방 활동을 적극 전개해 나가겠다”고 밝혔다. 최원태기자",2024-03-30 01:23:34
"유성경찰서, 경비인력 없는 상호금융기관 집중 순찰","유성경찰서, 경비인력 없는 상호금융기관 집중 순찰



입력 2024.03.13 17:13 기자명 정인선 기자 jis@daejonilbo.com

+ 구독 이전 기사보기 다음 기사보기",2024-03-30 01:23:36
"유성경찰서, 금융기관 특별 방범진단 실시","[충청뉴스 김윤아 기자] 대전유성경찰서(서장 송재준)는 13일 신성동 새마을금고를 방문해 최근 발생한 강도 범죄사례와 대응 요령 등을 홍보하고, 강도 예방을 위한 범죄예방 진단 활동과 집중 순찰을 실시했다.

또한 은행 내외 CCTV와 비상벨 작동, 출입문 잠금장치 등 정밀진단을 실시하고 경비인력 고용, CCTV 및 비상벨 확층 등 범죄환경 개선에 대해 지점장과 지속적으로 노력해 나가기로 협의했다.

이번 활동은 자체 경비가 허술한 상호금융기관을 대상으로 하는 강도범죄가 지난해 대전 서구 관저동 신협 강도사건에 이어 지난 8일 충남 아산 새마을금고 강도사건이 잇따라 발생한 것에 대한 조치이다.

한편, 유성경찰서는 4월까지 다액취급업소 특별예방활동기간으로 설정하고, 경비인력이 없는 상호금융기관 중심으로 연계 순찰 노선을 지정, 집중적으로 순찰을 실시해 범죄심리를 사전에 차단하는 등 안전한 치안 환경 조성에 앞장서 나갈 계획이다.

저작권자 © 충청뉴스 무단전재 및 재배포 금지",2024-03-30 01:23:37
'제주형 보호구역안전문화운동' 본격 추진,"'제주형 보호구역 안전문화 운동' 도내 11개 초등학교를 대상으로 연중 추진된다.

제주특별자치도 자치경찰단은 13일 오전 8시 제주시 남광초등학교를 시작으로 '제주형 보호구역 안전문화운동'을 추진한다고 밝혔다.

이번 캠페인은 사전 수요조사를 통해 신청한 도내 11개 초등학교(남광, 도련, 봉개, 아라, 이도, 조천, 화북, 종달, 표선, 중문, 보성)를 중심으로 매월 1~2회 지속 실시하며, 방학기간과 노인의 날, 장애인의 날에는 노인·장애인 보호구역에서 연중 전개한다.

안전문화운동에는 제주도의회와 자치경찰단, 안전정책과, 도교육청, 행정시 교육지원청, 학교 학부모회, 자치경찰주민봉사대, 지역자생단체 등이 참여한다.

자치경찰단은 단체별 특성에 맞게 3개 분야로 역할을 나눠 참여자들의 동참을 이끌어 낼 계획이다. 주요 내용은 어우러짐 캠페인 활동과 안전시설 점검, 안전교육 등이다.

어우러짐 캠페인은 보호구역 내 교통안전 수칙 준수 및 교통취약계층 안전 최우선 확보 분위기를 조성한다.

안전시설 점검은 교통취약계층의 시선으로 안전 위험 요소를 점검하고 개선해 변화를 체감하도록 할 예정이다.

체험형 안전교육은 보호구역 내 혼잡지역과 사각지대, 공사 현장 등에서 안전교육 강사와 함께 행동요령·유의사항 등을 배우고 체험한다. 특히 어린이들에게는 돌발·위급 상황을 대비한 폐쇄회로(CC)TV 비상벨 체험 교육도 추가로 진행한다.

오광조 제주자치경찰단 교통정보센터장은 ""보호구역 지정·개선과 더불어 안전문화운동의 구체적 성과 목표를 설정한 만큼 달성에 만전을 기할 것""이라며 ""도민이 공감·체감·감동할 수 있는 안전문화운동으로 발전시켜 나가겠다""고 말했다.

한편 제주지역 보호구역은 어린이 보호구역 337곳, 노인 보호구역 133곳, 장애인 보호구역 23곳 등 모두 493곳이다. 지난해 어린이보호구역 교통사고는 8건, 노인보호구역 교통사고는 0건 발생했다. 고기욱 기자",2024-03-30 01:23:38
상호금융기관 범죄예방 특별방범진단,"▲ 대전유성경찰서가 13일 관내 새마을금고를 방문한 뒤 상호금융기관 범죄예방 특별방범진단을 실시하고 있다. 대전경찰청 제공

대전유성경찰서가 상호금융기관에서 발생하는 피싱 관련 범죄 예방을 위해 나섰다.

유성서는 13일 관내 새마을금고를 찾아 상호금융기관 범죄예방 특별방범진단을 실시했다고 밝혔다. 유성서는 신성지구대와 함께 관내 새마을금고 지점장과 종사자를 대상으로 최근 발생한 강도 범죄사례와 대응 요령 등을 홍보하고 강도 예방을 위한 범죄예방 진단 활동과 집중 순찰을 진행했다. 또 은행 내외 CCTV, 비상벨 작동, 출입문 잠금장치 등을 정밀 진단하고 경비인력 고용 등 범죄환경 개선에 대해 지점장과 지속 노력해가기로 협의했다. 내달까지 다액취급업소 특별예방활동기간으로 설정하고 안전한 치안 환경 조성에 앞장설 계획이다.

김세영 기자 ksy@ggilbo.com",2024-03-30 01:23:39
"유성경찰서, 제2금융권 강도사건 근절 특별방법활동","(사진=대전경찰청)

최근 충남 아산 새마을금고 강도사건 발생에 대전유성경찰서가 지역 내 새마을금고를 순찰하고 직원들에게 범죄 대응요령을 안내했다.유성서는 13일 신성지구대와 함께 유성구 신성동 소재 새마을금고를 방문해 은행 지점장과 종사자를 대상으로 최근 발생한 강도 범죄사례와 대응 요령 등을 홍보하고, 강도 예방을 위한 범죄예방 진단 활동과 집중 순찰을 진행했다.은행 내외 CCTV와 비상벨 작동, 출입문 잠금장치 등을 확인하고, 경비인력 고용, CCTV·비상벨 확충 등 범죄환경 개선에 대해 지점장과 지속적으로 노력해 나가기로 협의했다.이번 활동은 자체 경비가 허술한 상호금융기관을 대상으로 하는 강도범죄가 2023년 대전 서구 관저동 신협 강도사건에 이어 3월 8일 충남 아산 새마을금고 강도사건이 잇따라 발생한 것에 대한 조치다.유성경찰서는 4월까지 다액취급업소 특별예방활동기간으로 설정하고, 경비인력이 없는 상호금융기관 중심으로 연계 순찰 노선을 지정, 집중적으로 순찰을 실시해 범죄심리를 사전에 차단하는 등 안전한 치안 환경 조성에 앞장설 계획이다.정바름 기자 niya15@

중도일보(www.joongdo.co.kr), 무단전재 및 수집, 재배포 금지",2024-03-30 01:23:41
"진해구, 제62회 군항제 대비 공중화장실안전점검","[경남=뉴스프리존]최근내 기자= 창원특례시 진해구는 12일 진해경찰서와 함께 공중화장실 불법촬영 카메라와 비상벨 합동점검을 가졌다고 전했다.

‘제62회 진해군항제’를 대비해 공중화장실 합동점검 모습.(사진=창원시)

이번 점검은 ‘제62회 군항제’를 대비해 경화역, 여좌천 등 관광객이 많이 찾는 위치의 공중화장실에 대해 집중적으로 실시했다.

이날 합동점검반은 렌즈탐지기와 전파탐지기를 이용한 불법촬영카메라 설치 여부 등을 중점적으로 확인하고 112 치안상황실과 연계된 비상벨의 정상작동 여부와 방역∙소독 상태도 함께 점검했다.

진해구 환경과는 군항제 방문객이 안심하고 공중화장실을 이용할 수 있도록 수시 점검에 나설 예정이다.",2024-03-30 01:23:42
"제주자치경찰단, 보호구역안전문화운동 연중 추진","제주특별자치도 자치경찰단(단장 박기남)은 13일 오전 8시 남광초등학교를 시작으로 '제주형 보호구역 안전문화운동'를 연중 추진한다고 밝혔다.

사전 수요조사를 통해 신청한 도내 11개 초등학교를 중심으로 매월 1~2회 지속적으로 실시하며, 방학기간과 노인의 날, 장애인의 날에는 노인·장애인 보호구역에서 연중 전개한다.

대상 학교는 △제주시 지역 남광초, 도련초, 봉개초, 아라초, 이도초, 조천초, 화북초, 종달초 8곳과 △서귀포 표선초, 중문초, 보성초 3곳 총 11곳이다.

제주도의회, 자치경찰단, 안전정책과, 도 교육청, 행정시 교육지원청, 학교학부모회, 자치경찰주민봉사대, 지역자생단체 등이 참여해 보호구역 현장을 살펴 개선방향을 논의하고 보다 많은 도민이 보호구역 안전에 대한 관심과 공감대 형성을 할 수 있도록 다양한 방안을 도모한다.

이번 보호구역 안전문화운동은 기존 전달식 캠페인 방식과 차별화해 각 단체·기관별 특성에 맞게 3개 분야로 역할을 분배하고, 협업을 통해 참여자들의 적극적인 동참을 이끌어 내는 방식으로 진행된다.

우선 어우러짐 캠페인 활동을 통해 캠페인 구성·실행·홍보 등 전 분야에 걸쳐 현장 의견을 반영하고, 함께 어우러져 보호구역 내 교통안전수칙 준수 및 교통취약계층 안전 최우선 확보 분위기를 조성한다.

또 캠페인 활동과 함께 보호구역 전반에 걸쳐 교통취약계층의 시선으로 안전위험요소를 점검하고, 개선이 필요한 사항은 최우선으로 추진해 변화와 성과를 체감하도록 한다.

이와 함께 보호구역 내 혼잡지역, 사각지대, 공사현장 등에서 안전교육강사(교통경찰관 등)와 함께 행동요령·유의사항 등을 배우고 체험하도록 지원한다.

특히, 어린이들에게는 돌발·위급상황 대비 방범용 폐쇄회로 텔레비전(CCTV) 비상벨 체험 교육도 추가로 진행한다.

다양한 활동을 통해 제주사회에 보호구역 안전의 중요성과 공공캠페인의 역할 및 필요성을 알려 도민들의 참여 의지를 높이고 실천행동을 이끌어 내 도민 주도형 공공캠페인으로 변화를 모색한다.

한편, 제주도는 전국 광역시 중 최고 수준의 보호구역 지정률과 개선으로 취약계층 교통안전 강화를 추진하고 있으며, 국무조정실 성과관리, 지자체 합동평가에도 포함시켜 구체적 목표 설정 및 달성을 위해 만전을 기하고 있다.

오광조 자치경찰단 교통정보센터장은 ""보호구역 지정·개선과 더불어 안전문화운동 활동의 구체적 성과목표를 설정한 만큼 달성에 만전을 기할 것""이라며 ""도민이 공감·체감·감동할 수 있는 안전문화운동으로 발전시켜 나가겠다""고 말했다. <헤드라인제주>",2024-03-30 01:23:45
